Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	CD4Tconv	CD4Tn	RPL34	0.62	100.0	2.19e-229
0	Immune cells	CD4Tconv	CD4Tn	RPS18	0.56	100.0	2.07e-200
0	Immune cells	CD4Tconv	CD4Tn	RPL32	0.55	99.8	2.62e-195
0	Immune cells	CD4Tconv	CD4Tn	RPL13	0.51	99.9	1.04e-167
0	Immune cells	CD4Tconv	CD4Tn	RPS27A	0.54	99.5	1.95e-164
0	Immune cells	CD4Tconv	CD4Tn	RPL10	0.46	100.0	4.42e-162
0	Immune cells	CD4Tconv	CD4Tn	RPS6	0.51	99.9	2.56e-146
0	Immune cells	CD4Tconv	CD4Tn	RPL13A	0.45	100.0	1.03e-142
0	Immune cells	CD4Tconv	CD4Tn	RPL11	0.5	99.4	1.07e-139
0	Immune cells	CD4Tconv	CD4Tn	RPS14	0.42	99.9	3.27e-138
0	Immune cells	CD4Tconv	CD4Tn	RPS29	0.46	99.9	1.03e-137
0	Immune cells	CD4Tconv	CD4Tn	RPL30	0.54	98.2	1.4e-136
0	Immune cells	CD4Tconv	CD4Tn	RPS25	0.48	99.3	3.36e-135
0	Immune cells	CD4Tconv	CD4Tn	RPS12	0.57	99.7	5.14e-135
0	Immune cells	CD4Tconv	CD4Tn	RPS27	0.44	100.0	5.44e-133
0	Immune cells	CD4Tconv	CD4Tn	CD74	-1.16	50.6	1.55e-130
0	Immune cells	CD4Tconv	CD4Tn	RPL21	0.45	99.8	4.07e-129
0	Immune cells	CD4Tconv	CD4Tn	RPL39	0.5	99.2	3.72e-128
0	Immune cells	CD4Tconv	CD4Tn	RPL3	0.46	99.7	9.09e-127
0	Immune cells	CD4Tconv	CD4Tn	EEF1A1	0.5	99.8	1.64e-125
0	Immune cells	CD4Tconv	CD4Tn	RPL31	0.49	99.4	7.71e-125
0	Immune cells	CD4Tconv	CD4Tn	RPL7	0.45	99.2	2.07e-119
0	Immune cells	CD4Tconv	CD4Tn	RPLP2	0.51	99.4	2.26e-119
0	Immune cells	CD4Tconv	CD4Tn	RPS3A	0.51	97.6	3.33e-118
0	Immune cells	CD4Tconv	CD4Tn	RPL18A	0.43	99.5	6.93e-114
0	Immune cells	CD4Tconv	CD4Tn	ISG15	-1.58	22.9	1.22e-110
0	Immune cells	CD4Tconv	CD4Tn	RPL27A	0.42	98.9	1.2e-108
0	Immune cells	CD4Tconv	CD4Tn	RPS15A	0.41	99.7	4.02e-108
0	Immune cells	CD4Tconv	CD4Tn	RPS28	0.43	99.0	1.36e-107
0	Immune cells	CD4Tconv	CD4Tn	RPL41	0.32	100.0	1.61e-106
0	Immune cells	CD4Tconv	CD4Tn	RPL36	0.48	98.1	3.02e-106
0	Immune cells	CD4Tconv	CD4Tn	TIGIT	-1.24	10.5	1.44e-105
0	Immune cells	CD4Tconv	CD4Tn	GAPDH	-0.93	72.5	1.94e-105
0	Immune cells	CD4Tconv	CD4Tn	RPS8	0.49	98.2	7.3e-104
0	Immune cells	CD4Tconv	CD4Tn	RPL23A	0.38	99.7	2.75e-102
0	Immune cells	CD4Tconv	CD4Tn	HLA-A	-0.45	96.9	6.73e-102
0	Immune cells	CD4Tconv	CD4Tn	RPL35A	0.43	97.9	5.96e-101
0	Immune cells	CD4Tconv	CD4Tn	HLA-DRB1	-1.48	6.0	1.4e-99
0	Immune cells	CD4Tconv	CD4Tn	RPS4X	0.38	99.1	2.13e-98
0	Immune cells	CD4Tconv	CD4Tn	RPS23	0.46	97.6	5.69e-98
0	Immune cells	CD4Tconv	CD4Tn	IL7R	0.89	62.8	1.72e-97
0	Immune cells	CD4Tconv	CD4Tn	RPLP1	0.38	100.0	2.5e-95
0	Immune cells	CD4Tconv	CD4Tn	SRGN	-0.76	63.6	2.29e-94
0	Immune cells	CD4Tconv	CD4Tn	RPL9	0.48	96.7	1.1e-92
0	Immune cells	CD4Tconv	CD4Tn	RPS3	0.38	98.9	6.95e-92
0	Immune cells	CD4Tconv	CD4Tn	RPS13	0.43	96.9	1.49e-89
0	Immune cells	CD4Tconv	CD4Tn	LY6E	-0.87	41.4	3.12e-88
0	Immune cells	CD4Tconv	CD4Tn	IFI6	-1.25	16.7	3.49e-87
0	Immune cells	CD4Tconv	CD4Tn	DUSP4	-1.16	4.2	8.75e-84
0	Immune cells	CD4Tconv	CD4Tn	MX1	-1.17	9.7	3.14e-82
0	Immune cells	CD4Tconv	CD4Tn	TNFRSF18	-1.4	8.7	3.14e-82
0	Immune cells	CD4Tconv	CD4Tn	CST7	-0.99	16.7	1.78e-80
0	Immune cells	CD4Tconv	CD4Tn	RPL26	0.37	98.6	5.31e-79
0	Immune cells	CD4Tconv	CD4Tn	HLA-DPA1	-1.05	9.3	9.04e-78
0	Immune cells	CD4Tconv	CD4Tn	RPS19	0.33	99.8	9.04e-78
0	Immune cells	CD4Tconv	CD4Tn	ANXA1	0.53	67.6	2.03e-75
0	Immune cells	CD4Tconv	CD4Tn	CD7	-0.9	39.2	6.01e-75
0	Immune cells	CD4Tconv	CD4Tn	HLA-DPB1	-1.01	9.8	1.96e-74
0	Immune cells	CD4Tconv	CD4Tn	TPT1	0.48	93.9	8.22e-73
0	Immune cells	CD4Tconv	CD4Tn	HLA-C	-0.33	96.9	1.75e-71
0	Immune cells	CD4Tconv	CD4Tn	TYMP	-0.91	15.1	1.93e-70
0	Immune cells	CD4Tconv	CD4Tn	RPS20	0.41	94.7	3.27e-69
0	Immune cells	CD4Tconv	CD4Tn	RPL14	0.39	96.0	3.01e-68
0	Immune cells	CD4Tconv	CD4Tn	NKG7	-1.58	11.0	4.96e-67
0	Immune cells	CD4Tconv	CD4Tn	TPI1	-0.73	38.3	9.22e-67
0	Immune cells	CD4Tconv	CD4Tn	RPL19	0.34	98.1	2.62e-66
0	Immune cells	CD4Tconv	CD4Tn	LAG3	-1.25	5.5	4.43e-66
0	Immune cells	CD4Tconv	CD4Tn	CCL4	-2.45	2.6	1.11e-65
0	Immune cells	CD4Tconv	CD4Tn	BATF	-0.99	11.6	8.85e-65
0	Immune cells	CD4Tconv	CD4Tn	PRF1	-1.01	5.8	3.57e-64
0	Immune cells	CD4Tconv	CD4Tn	LTB	0.53	86.7	1.02e-63
0	Immune cells	CD4Tconv	CD4Tn	BST2	-0.77	25.0	2.14e-63
0	Immune cells	CD4Tconv	CD4Tn	MT2A	-0.85	39.0	7.29e-63
0	Immune cells	CD4Tconv	CD4Tn	RPL36A	0.5	87.8	2.37e-62
0	Immune cells	CD4Tconv	CD4Tn	AC133644.2	-1.06	4.1	5.49e-62
0	Immune cells	CD4Tconv	CD4Tn	PKM	-0.93	33.4	2.53e-61
0	Immune cells	CD4Tconv	CD4Tn	RPL38	0.47	90.2	3.87e-61
0	Immune cells	CD4Tconv	CD4Tn	RPS15	0.28	99.7	6.68e-61
0	Immune cells	CD4Tconv	CD4Tn	CARD16	-0.79	23.7	1.78e-60
0	Immune cells	CD4Tconv	CD4Tn	RPS21	0.49	86.6	5.19e-60
0	Immune cells	CD4Tconv	CD4Tn	LINC00152	-0.78	13.0	1.91e-58
0	Immune cells	CD4Tconv	CD4Tn	RPL12	0.34	96.9	7.19e-58
0	Immune cells	CD4Tconv	CD4Tn	EPSTI1	-0.83	9.8	1.53e-57
0	Immune cells	CD4Tconv	CD4Tn	RPL6	0.35	95.7	6.04e-57
0	Immune cells	CD4Tconv	CD4Tn	RPL28	0.29	98.2	1.08e-56
0	Immune cells	CD4Tconv	CD4Tn	MT-CYB	0.41	95.5	1.53e-56
0	Immune cells	CD4Tconv	CD4Tn	ID2	-0.98	22.0	7.46e-56
0	Immune cells	CD4Tconv	CD4Tn	CD52	0.4	93.6	3.54e-55
0	Immune cells	CD4Tconv	CD4Tn	ACTB	-0.39	99.8	9.09e-55
0	Immune cells	CD4Tconv	CD4Tn	RPL10A	0.37	94.2	1.14e-54
0	Immune cells	CD4Tconv	CD4Tn	CXCL13	-2.18	1.8	2.58e-54
