Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	CD4Tconv	Th17	FOS	0.92	92.2	0
0	Immune cells	CD4Tconv	Th17	IL7R	0.71	99.9	0
0	Immune cells	CD4Tconv	Th17	ANXA1	0.69	94.2	0
0	Immune cells	CD4Tconv	Th17	CD40LG	0.67	82.0	0
0	Immune cells	CD4Tconv	Th17	S100A11	0.66	97.4	0
0	Immune cells	CD4Tconv	Th17	NFKBIA	0.61	98.2	0
0	Immune cells	CD4Tconv	Th17	DUSP1	0.51	95.9	0
0	Immune cells	CD4Tconv	Th17	TXNIP	0.39	100.0	0
0	Immune cells	CD4Tconv	Th17	VIM	0.38	99.5	0
0	Immune cells	CD4Tconv	Th17	TPT1	0.27	100.0	0
0	Immune cells	CD4Tconv	Th17	CD27	-0.75	69.8	0
0	Immune cells	CD4Tconv	Th17	HLA-DQA1	-0.84	44.6	0
0	Immune cells	CD4Tconv	Th17	TIGIT	-0.9	51.4	0
0	Immune cells	CD4Tconv	Th17	CD8B	-1.11	48.6	0
0	Immune cells	CD4Tconv	Th17	HLA-DRB1	-1.23	55.4	0
0	Immune cells	CD4Tconv	Th17	CD8A	-1.56	49.9	0
0	Immune cells	CD4Tconv	Th17	NKG7	-1.84	52.7	0
0	Immune cells	CD4Tconv	Th17	LTB	0.4	98.1	5.24e-303
0	Immune cells	CD4Tconv	Th17	CRTAM	-0.7	44.9	2.04e-295
0	Immune cells	CD4Tconv	Th17	S100A10	0.39	97.3	5.45e-295
0	Immune cells	CD4Tconv	Th17	ZFP36L2	0.39	99.9	5.16e-291
0	Immune cells	CD4Tconv	Th17	TSC22D3	0.39	99.8	4.48e-289
0	Immune cells	CD4Tconv	Th17	SESN1	0.54	75.9	3.54e-274
0	Immune cells	CD4Tconv	Th17	HLA-DRB5	-0.75	49.4	2.47e-273
0	Immune cells	CD4Tconv	Th17	CCL4	-1.98	53.8	3.71e-271
0	Immune cells	CD4Tconv	Th17	S100A4	0.36	99.0	2.63e-264
0	Immune cells	CD4Tconv	Th17	KLF2	0.49	92.8	6.62e-252
0	Immune cells	CD4Tconv	Th17	HLA-DPA1	-0.72	70.0	5.53e-238
0	Immune cells	CD4Tconv	Th17	CD74	-0.69	97.9	3.75e-237
0	Immune cells	CD4Tconv	Th17	CCL3L3	-0.44	38.0	3.2e-235
0	Immune cells	CD4Tconv	Th17	HLA-DQB1	-0.66	59.1	5.43e-234
0	Immune cells	CD4Tconv	Th17	HLA-DPB1	-0.69	69.2	9.07e-234
0	Immune cells	CD4Tconv	Th17	CCL4L2	-1.61	48.4	3.47e-229
0	Immune cells	CD4Tconv	Th17	TIMP1	0.51	70.7	4.09e-218
0	Immune cells	CD4Tconv	Th17	KLF6	0.38	97.7	2.3e-215
0	Immune cells	CD4Tconv	Th17	HLA-DRA	-0.89	48.3	8.3e-201
0	Immune cells	CD4Tconv	Th17	TOX2	-0.39	40.5	8.58e-196
0	Immune cells	CD4Tconv	Th17	TOX	-0.51	48.8	4.48e-188
0	Immune cells	CD4Tconv	Th17	CD69	0.35	95.4	2.22e-182
0	Immune cells	CD4Tconv	Th17	HLA-DMA	-0.45	49.8	1.62e-180
0	Immune cells	CD4Tconv	Th17	GPR171	0.35	75.4	7.74e-175
0	Immune cells	CD4Tconv	Th17	CST7	-0.9	76.1	1.9e-174
0	Immune cells	CD4Tconv	Th17	COTL1	-0.48	91.6	5.68e-171
0	Immune cells	CD4Tconv	Th17	RIPK2	0.27	64.8	5.07e-162
0	Immune cells	CD4Tconv	Th17	JUN	0.47	91.1	1.07e-160
0	Immune cells	CD4Tconv	Th17	IKZF2	-0.29	39.4	7.48e-153
0	Immune cells	CD4Tconv	Th17	TNFRSF9	-0.29	33.5	1.49e-149
0	Immune cells	CD4Tconv	Th17	CXCL13	-2.44	45.1	1.53e-146
0	Immune cells	CD4Tconv	Th17	CTLA4	-0.6	50.3	1.24e-145
0	Immune cells	CD4Tconv	Th17	LYST	-0.45	52.1	4.4e-140
0	Immune cells	CD4Tconv	Th17	ITM2C	-0.67	57.5	1.95e-134
0	Immune cells	CD4Tconv	Th17	TNFAIP3	0.34	90.8	1.68e-131
0	Immune cells	CD4Tconv	Th17	ERN1	0.28	75.2	8.03e-126
0	Immune cells	CD4Tconv	Th17	NOSIP	0.35	78.1	7.23e-125
