Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	CD8T	CD8Tem	IL7R	1.02	88.1	0
0	Immune cells	CD8T	CD8Tem	JUNB	0.92	88.2	0
0	Immune cells	CD8T	CD8Tem	DUSP2	0.86	87.2	0
0	Immune cells	CD8T	CD8Tem	LINC01934	0.72	52.9	0
0	Immune cells	CD8T	CD8Tem	KLRB1	0.64	35.6	0
0	Immune cells	CD8T	CD8Tem	C1orf162	0.63	39.3	0
0	Immune cells	CD8T	CD8Tem	RPL27A	0.63	98.7	0
0	Immune cells	CD8T	CD8Tem	NOSIP	0.61	57.8	0
0	Immune cells	CD8T	CD8Tem	RPL36A	0.58	94.9	0
0	Immune cells	CD8T	CD8Tem	RPL38	0.57	98.1	0
0	Immune cells	CD8T	CD8Tem	RPS27	0.57	100.0	0
0	Immune cells	CD8T	CD8Tem	KLRG1	0.57	29.4	0
0	Immune cells	CD8T	CD8Tem	RPL30	0.55	100.0	0
0	Immune cells	CD8T	CD8Tem	SELL	0.54	23.1	0
0	Immune cells	CD8T	CD8Tem	RPL19	0.52	100.0	0
0	Immune cells	CD8T	CD8Tem	RPL41	0.52	100.0	0
0	Immune cells	CD8T	CD8Tem	ZNF683	0.52	53.3	0
0	Immune cells	CD8T	CD8Tem	RIPOR2	0.51	62.0	0
0	Immune cells	CD8T	CD8Tem	RPL32	0.51	100.0	0
0	Immune cells	CD8T	CD8Tem	RPS12	0.5	100.0	0
0	Immune cells	CD8T	CD8Tem	GZMK	0.49	77.1	0
0	Immune cells	CD8T	CD8Tem	RPS26	0.49	100.0	0
0	Immune cells	CD8T	CD8Tem	RPLP2	0.48	100.0	0
0	Immune cells	CD8T	CD8Tem	SOCS3	0.47	20.2	0
0	Immune cells	CD8T	CD8Tem	RPS14	0.46	100.0	0
0	Immune cells	CD8T	CD8Tem	RPL18A	0.46	100.0	0
0	Immune cells	CD8T	CD8Tem	RPS21	0.45	99.9	0
0	Immune cells	CD8T	CD8Tem	RPL34	0.45	100.0	0
0	Immune cells	CD8T	CD8Tem	RPS18	0.45	100.0	0
0	Immune cells	CD8T	CD8Tem	RPS25	0.45	99.8	0
0	Immune cells	CD8T	CD8Tem	RPL13	0.44	100.0	0
0	Immune cells	CD8T	CD8Tem	EEF1B2	0.43	91.8	0
0	Immune cells	CD8T	CD8Tem	RPL23A	0.43	99.8	0
0	Immune cells	CD8T	CD8Tem	RPL29	0.43	99.8	0
0	Immune cells	CD8T	CD8Tem	RPL7A	0.43	99.9	0
0	Immune cells	CD8T	CD8Tem	IFITM3	0.43	95.0	0
0	Immune cells	CD8T	CD8Tem	RPL28	0.43	100.0	0
0	Immune cells	CD8T	CD8Tem	RPL36	0.42	99.8	0
0	Immune cells	CD8T	CD8Tem	RPS15A	0.42	100.0	0
0	Immune cells	CD8T	CD8Tem	RPL3	0.42	99.8	0
0	Immune cells	CD8T	CD8Tem	RPS27A	0.42	100.0	0
0	Immune cells	CD8T	CD8Tem	RPL21	0.41	99.9	0
0	Immune cells	CD8T	CD8Tem	RPL35	0.41	99.1	0
0	Immune cells	CD8T	CD8Tem	RPS6	0.41	99.9	0
0	Immune cells	CD8T	CD8Tem	RPS3A	0.41	100.0	0
0	Immune cells	CD8T	CD8Tem	RPL12	0.41	99.9	0
0	Immune cells	CD8T	CD8Tem	RPL26	0.41	99.7	0
0	Immune cells	CD8T	CD8Tem	RPS28	0.4	100.0	0
0	Immune cells	CD8T	CD8Tem	RPS23	0.4	99.9	0
0	Immune cells	CD8T	CD8Tem	RPS13	0.39	99.9	0
0	Immune cells	CD8T	CD8Tem	RPL35A	0.39	99.9	0
0	Immune cells	CD8T	CD8Tem	FAU	0.38	99.9	0
0	Immune cells	CD8T	CD8Tem	ZFP36L2	0.38	98.0	0
0	Immune cells	CD8T	CD8Tem	RPS29	0.38	99.9	0
0	Immune cells	CD8T	CD8Tem	RPS3	0.38	100.0	0
0	Immune cells	CD8T	CD8Tem	RPL11	0.38	100.0	0
0	Immune cells	CD8T	CD8Tem	RPS7	0.38	99.9	0
0	Immune cells	CD8T	CD8Tem	RPL9	0.37	98.2	0
0	Immune cells	CD8T	CD8Tem	RPL14	0.37	99.9	0
0	Immune cells	CD8T	CD8Tem	RPL22	0.37	98.4	0
0	Immune cells	CD8T	CD8Tem	EEF1A1	0.37	100.0	0
0	Immune cells	CD8T	CD8Tem	RPL37A	0.37	98.7	0
0	Immune cells	CD8T	CD8Tem	RPS4X	0.36	100.0	0
0	Immune cells	CD8T	CD8Tem	RPL6	0.36	99.9	0
0	Immune cells	CD8T	CD8Tem	RPL31	0.36	97.3	0
0	Immune cells	CD8T	CD8Tem	RPL27	0.35	95.7	0
0	Immune cells	CD8T	CD8Tem	RPS5	0.34	98.3	0
0	Immune cells	CD8T	CD8Tem	RPL37	0.34	99.8	0
0	Immune cells	CD8T	CD8Tem	RPS15	0.34	99.9	0
0	Immune cells	CD8T	CD8Tem	TOMM7	0.34	90.2	0
0	Immune cells	CD8T	CD8Tem	RPL10	0.34	100.0	0
0	Immune cells	CD8T	CD8Tem	RPL10A	0.34	97.9	0
0	Immune cells	CD8T	CD8Tem	EEF1D	0.32	96.6	0
0	Immune cells	CD8T	CD8Tem	RPL8	0.32	99.6	0
0	Immune cells	CD8T	CD8Tem	PFDN5	0.32	92.8	0
0	Immune cells	CD8T	CD8Tem	NBEAL1	0.32	85.7	0
0	Immune cells	CD8T	CD8Tem	RPL5	0.3	99.2	0
0	Immune cells	CD8T	CD8Tem	LTB	0.3	95.8	0
0	Immune cells	CD8T	CD8Tem	RPL39	0.3	100.0	0
0	Immune cells	CD8T	CD8Tem	RPL24	0.3	98.2	0
0	Immune cells	CD8T	CD8Tem	UBA52	0.3	97.3	0
0	Immune cells	CD8T	CD8Tem	IFITM1	0.29	99.5	0
0	Immune cells	CD8T	CD8Tem	RPL18	0.29	99.8	0
0	Immune cells	CD8T	CD8Tem	RPS24	0.29	99.9	0
0	Immune cells	CD8T	CD8Tem	RPSA	0.29	98.1	0
0	Immune cells	CD8T	CD8Tem	TMSB4X	0.28	100.0	0
0	Immune cells	CD8T	CD8Tem	NACA	0.28	98.3	0
0	Immune cells	CD8T	CD8Tem	RPL15	0.28	99.2	0
0	Immune cells	CD8T	CD8Tem	RPS8	0.28	100.0	0
0	Immune cells	CD8T	CD8Tem	MALAT1	0.27	100.0	0
0	Immune cells	CD8T	CD8Tem	RPS16	0.25	98.0	0
0	Immune cells	CD8T	CD8Tem	ORAI3	-0.25	3.4	0
0	Immune cells	CD8T	CD8Tem	MYL6	-0.25	93.8	0
0	Immune cells	CD8T	CD8Tem	CD68	-0.25	0.5	0
0	Immune cells	CD8T	CD8Tem	CAT	-0.25	8.1	0
0	Immune cells	CD8T	CD8Tem	MPST	-0.26	9.6	0
0	Immune cells	CD8T	CD8Tem	CTSB	-0.26	7.2	0
0	Immune cells	CD8T	CD8Tem	HNRNPL	-0.26	8.3	0
0	Immune cells	CD8T	CD8Tem	NDFIP2	-0.26	1.0	0
0	Immune cells	CD8T	CD8Tem	ANTXR2	-0.26	9.1	0
0	Immune cells	CD8T	CD8Tem	PFN1	-0.26	99.0	0
0	Immune cells	CD8T	CD8Tem	RASGRP1	-0.27	12.1	0
0	Immune cells	CD8T	CD8Tem	RAD23B	-0.28	8.7	0
0	Immune cells	CD8T	CD8Tem	CCPG1	-0.28	11.7	0
0	Immune cells	CD8T	CD8Tem	CARD19	-0.28	9.7	0
0	Immune cells	CD8T	CD8Tem	CD86	-0.28	1.1	0
0	Immune cells	CD8T	CD8Tem	ANKRD28	-0.28	4.4	0
0	Immune cells	CD8T	CD8Tem	RABGAP1L	-0.29	15.2	0
0	Immune cells	CD8T	CD8Tem	SLC20A1	-0.29	11.0	0
0	Immune cells	CD8T	CD8Tem	BOD1L1	-0.29	10.3	0
0	Immune cells	CD8T	CD8Tem	HSPA1A	-0.3	2.0	0
0	Immune cells	CD8T	CD8Tem	PDIA4	-0.3	11.1	0
0	Immune cells	CD8T	CD8Tem	ATP8B4	-0.3	4.3	0
0	Immune cells	CD8T	CD8Tem	CLIC1	-0.3	80.1	0
0	Immune cells	CD8T	CD8Tem	SIX1	-0.3	2.0	0
0	Immune cells	CD8T	CD8Tem	NUDT5	-0.3	15.7	0
0	Immune cells	CD8T	CD8Tem	IL2RA	-0.3	2.2	0
0	Immune cells	CD8T	CD8Tem	ANP32A	-0.31	18.4	0
0	Immune cells	CD8T	CD8Tem	FUT8	-0.31	14.3	0
0	Immune cells	CD8T	CD8Tem	PRKCA	-0.31	2.1	0
0	Immune cells	CD8T	CD8Tem	IL9R	-0.31	0.7	0
0	Immune cells	CD8T	CD8Tem	MAP7D1	-0.31	12.8	0
0	Immune cells	CD8T	CD8Tem	MMP25	-0.31	3.1	0
0	Immune cells	CD8T	CD8Tem	HIPK2	-0.31	3.5	0
0	Immune cells	CD8T	CD8Tem	CLTC	-0.31	10.8	0
0	Immune cells	CD8T	CD8Tem	TALDO1	-0.32	22.0	0
0	Immune cells	CD8T	CD8Tem	FMNL1	-0.32	19.3	0
0	Immune cells	CD8T	CD8Tem	SDCBP	-0.32	12.3	0
0	Immune cells	CD8T	CD8Tem	YWHAH	-0.32	8.4	0
0	Immune cells	CD8T	CD8Tem	REG4	-0.32	1.1	0
0	Immune cells	CD8T	CD8Tem	GDE1	-0.32	8.8	0
0	Immune cells	CD8T	CD8Tem	SMAD3	-0.33	12.9	0
0	Immune cells	CD8T	CD8Tem	HDLBP	-0.33	10.8	0
0	Immune cells	CD8T	CD8Tem	CDK6	-0.33	11.9	0
0	Immune cells	CD8T	CD8Tem	GCNT1	-0.33	1.2	0
0	Immune cells	CD8T	CD8Tem	TMEM30A	-0.33	7.8	0
0	Immune cells	CD8T	CD8Tem	ACTB	-0.33	99.9	0
0	Immune cells	CD8T	CD8Tem	SH2D1A	-0.33	19.1	0
0	Immune cells	CD8T	CD8Tem	DCTN3	-0.33	15.8	0
0	Immune cells	CD8T	CD8Tem	ATP2B4	-0.33	19.0	0
0	Immune cells	CD8T	CD8Tem	MT-CYB	-0.34	99.5	0
0	Immune cells	CD8T	CD8Tem	MAPK1	-0.34	6.2	0
0	Immune cells	CD8T	CD8Tem	ACTN4	-0.34	18.8	0
0	Immune cells	CD8T	CD8Tem	BPTF	-0.34	21.7	0
0	Immune cells	CD8T	CD8Tem	POMP	-0.34	28.5	0
0	Immune cells	CD8T	CD8Tem	EOMES	-0.34	5.6	0
0	Immune cells	CD8T	CD8Tem	PSAP	-0.34	26.0	0
0	Immune cells	CD8T	CD8Tem	MZT2B	-0.34	18.0	0
0	Immune cells	CD8T	CD8Tem	GPR68	-0.34	4.2	0
0	Immune cells	CD8T	CD8Tem	PRDX5	-0.34	23.2	0
0	Immune cells	CD8T	CD8Tem	AP2B1	-0.34	13.5	0
0	Immune cells	CD8T	CD8Tem	ARF6	-0.34	12.9	0
0	Immune cells	CD8T	CD8Tem	KCNAB2	-0.34	20.4	0
0	Immune cells	CD8T	CD8Tem	TPP1	-0.34	11.3	0
0	Immune cells	CD8T	CD8Tem	MRPS6	-0.34	21.7	0
0	Immune cells	CD8T	CD8Tem	IL2RB	-0.35	20.0	0
0	Immune cells	CD8T	CD8Tem	MMP24OS	-0.35	6.4	0
0	Immune cells	CD8T	CD8Tem	ZYX	-0.35	39.7	0
0	Immune cells	CD8T	CD8Tem	PRRC2B	-0.35	13.4	0
0	Immune cells	CD8T	CD8Tem	ARPC5	-0.35	38.0	0
0	Immune cells	CD8T	CD8Tem	TNFRSF1B	-0.35	13.7	0
0	Immune cells	CD8T	CD8Tem	ANKRD11	-0.35	18.7	0
0	Immune cells	CD8T	CD8Tem	PPIB	-0.35	75.1	0
0	Immune cells	CD8T	CD8Tem	GPR171	-0.36	14.9	0
0	Immune cells	CD8T	CD8Tem	DPP4	-0.36	8.8	0
0	Immune cells	CD8T	CD8Tem	MT-ATP6	-0.36	99.4	0
