Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	CD4Tconv	Tfh	TNFRSF4	1.2	31.3	0
0	Immune cells	CD4Tconv	Tfh	LTB	0.96	89.6	0
0	Immune cells	CD4Tconv	Tfh	TIGIT	0.93	42.2	0
0	Immune cells	CD4Tconv	Tfh	TBC1D4	0.91	35.0	0
0	Immune cells	CD4Tconv	Tfh	SPOCK2	0.9	58.0	0
0	Immune cells	CD4Tconv	Tfh	IL7R	0.89	63.3	0
0	Immune cells	CD4Tconv	Tfh	CD2	0.85	89.0	0
0	Immune cells	CD4Tconv	Tfh	TNFRSF18	0.83	25.5	0
0	Immune cells	CD4Tconv	Tfh	IL32	0.8	94.9	0
0	Immune cells	CD4Tconv	Tfh	ICOS	0.8	34.4	0
0	Immune cells	CD4Tconv	Tfh	IL2RA	0.8	17.8	0
0	Immune cells	CD4Tconv	Tfh	JUNB	0.79	93.8	0
0	Immune cells	CD4Tconv	Tfh	CD3D	0.78	96.3	0
0	Immune cells	CD4Tconv	Tfh	ICA1	0.75	23.7	0
0	Immune cells	CD4Tconv	Tfh	CCR7	0.75	35.3	0
0	Immune cells	CD4Tconv	Tfh	ITM2A	0.74	56.6	0
0	Immune cells	CD4Tconv	Tfh	PBXIP1	0.74	49.6	0
0	Immune cells	CD4Tconv	Tfh	GPR183	0.74	64.6	0
0	Immune cells	CD4Tconv	Tfh	BATF	0.69	33.5	0
0	Immune cells	CD4Tconv	Tfh	CORO1B	0.68	48.5	0
0	Immune cells	CD4Tconv	Tfh	MAF	0.68	33.9	0
0	Immune cells	CD4Tconv	Tfh	LDHB	0.67	81.2	0
0	Immune cells	CD4Tconv	Tfh	ARID5B	0.66	53.7	0
0	Immune cells	CD4Tconv	Tfh	PIK3IP1	0.64	46.0	0
0	Immune cells	CD4Tconv	Tfh	RORA	0.64	53.0	0
0	Immune cells	CD4Tconv	Tfh	KLRB1	0.63	54.8	0
0	Immune cells	CD4Tconv	Tfh	CD40LG	0.61	29.7	0
0	Immune cells	CD4Tconv	Tfh	SOCS3	0.6	45.9	0
0	Immune cells	CD4Tconv	Tfh	FYB	0.6	79.0	0
0	Immune cells	CD4Tconv	Tfh	LCK	0.59	70.7	0
0	Immune cells	CD4Tconv	Tfh	CREM	0.59	58.7	0
0	Immune cells	CD4Tconv	Tfh	SARAF	0.58	85.5	0
0	Immune cells	CD4Tconv	Tfh	CD3E	0.58	75.6	0
0	Immune cells	CD4Tconv	Tfh	DNAJB1	0.57	76.3	0
0	Immune cells	CD4Tconv	Tfh	HSPA8	0.56	84.8	0
0	Immune cells	CD4Tconv	Tfh	STAT3	0.55	55.5	0
0	Immune cells	CD4Tconv	Tfh	LAT	0.55	52.1	0
0	Immune cells	CD4Tconv	Tfh	CD3G	0.55	72.8	0
0	Immune cells	CD4Tconv	Tfh	CTLA4	0.54	19.1	0
0	Immune cells	CD4Tconv	Tfh	RGS1	0.54	67.5	0
0	Immune cells	CD4Tconv	Tfh	LEPROTL1	0.54	58.6	0
0	Immune cells	CD4Tconv	Tfh	CLEC2D	0.53	57.4	0
0	Immune cells	CD4Tconv	Tfh	BTG1	0.53	98.7	0
0	Immune cells	CD4Tconv	Tfh	CCR6	0.53	24.7	0
0	Immune cells	CD4Tconv	Tfh	ZNF331	0.53	49.6	0
0	Immune cells	CD4Tconv	Tfh	TNFRSF25	0.52	27.9	0
0	Immune cells	CD4Tconv	Tfh	CD28	0.5	25.9	0
0	Immune cells	CD4Tconv	Tfh	TCF7	0.5	38.2	0
0	Immune cells	CD4Tconv	Tfh	TRAT1	0.48	33.2	0
0	Immune cells	CD4Tconv	Tfh	CXCR4	0.47	82.0	0
0	Immune cells	CD4Tconv	Tfh	TSHZ2	0.47	19.9	0
0	Immune cells	CD4Tconv	Tfh	ETS1	0.47	39.0	0
0	Immune cells	CD4Tconv	Tfh	EVL	0.46	73.4	0
0	Immune cells	CD4Tconv	Tfh	BCL11B	0.46	34.2	0
0	Immune cells	CD4Tconv	Tfh	EML4	0.46	47.0	0
0	Immune cells	CD4Tconv	Tfh	CD27	0.46	52.2	0
0	Immune cells	CD4Tconv	Tfh	RHOH	0.45	50.7	0
0	Immune cells	CD4Tconv	Tfh	SIRPG	0.44	26.8	0
0	Immune cells	CD4Tconv	Tfh	LBH	0.44	46.9	0
0	Immune cells	CD4Tconv	Tfh	PASK	0.44	23.1	0
0	Immune cells	CD4Tconv	Tfh	PTPRC	0.44	91.1	0
0	Immune cells	CD4Tconv	Tfh	FOXP3	0.43	12.4	0
0	Immune cells	CD4Tconv	Tfh	SH2D1A	0.42	32.9	0
0	Immune cells	CD4Tconv	Tfh	CD6	0.42	31.0	0
0	Immune cells	CD4Tconv	Tfh	RGCC	0.41	54.0	0
0	Immune cells	CD4Tconv	Tfh	TOX2	0.41	14.4	0
0	Immune cells	CD4Tconv	Tfh	CD7	0.4	63.8	0
0	Immune cells	CD4Tconv	Tfh	PDCD1	0.37	13.9	0
0	Immune cells	CD4Tconv	Tfh	MAL	0.37	16.4	0
0	Immune cells	CD4Tconv	Tfh	LEF1	0.37	17.6	0
0	Immune cells	CD4Tconv	Tfh	CD69	0.36	72.1	0
0	Immune cells	CD4Tconv	Tfh	CD5	0.34	20.6	0
0	Immune cells	CD4Tconv	Tfh	EEF1A1	0.33	100.0	0
0	Immune cells	CD4Tconv	Tfh	DUSP16	0.31	13.3	0
0	Immune cells	CD4Tconv	Tfh	FBLN7	0.26	10.8	0
0	Immune cells	CD4Tconv	Tfh	MT-CO2	-0.36	99.0	0
0	Immune cells	CD4Tconv	Tfh	MT-ND3	-0.45	94.0	0
0	Immune cells	CD4Tconv	Tfh	OAZ1	-0.48	91.1	0
0	Immune cells	CD4Tconv	Tfh	PLEK	-0.8	2.6	0
0	Immune cells	CD4Tconv	Tfh	CYBA	-0.83	71.5	0
0	Immune cells	CD4Tconv	Tfh	GSTP1	-1.0	26.5	0
0	Immune cells	CD4Tconv	Tfh	MEF2C	-1.0	0.6	0
0	Immune cells	CD4Tconv	Tfh	CD63	-1.14	24.5	0
0	Immune cells	CD4Tconv	Tfh	NPC2	-1.21	19.6	0
0	Immune cells	CD4Tconv	Tfh	SERPINA1	-1.26	0.9	0
0	Immune cells	CD4Tconv	Tfh	LGALS1	-1.3	25.9	0
0	Immune cells	CD4Tconv	Tfh	CTSS	-1.39	31.9	0
0	Immune cells	CD4Tconv	Tfh	HLA-DPA1	-1.4	25.8	0
0	Immune cells	CD4Tconv	Tfh	MNDA	-1.42	0.4	0
0	Immune cells	CD4Tconv	Tfh	HLA-DPB1	-1.44	25.9	0
0	Immune cells	CD4Tconv	Tfh	FTL	-1.49	94.2	0
0	Immune cells	CD4Tconv	Tfh	CD74	-1.53	65.7	0
0	Immune cells	CD4Tconv	Tfh	HLA-DRB1	-1.57	15.4	0
0	Immune cells	CD4Tconv	Tfh	FCN1	-1.8	0.9	0
0	Immune cells	CD4Tconv	Tfh	LST1	-1.87	8.1	0
0	Immune cells	CD4Tconv	Tfh	AIF1	-1.92	5.5	0
0	Immune cells	CD4Tconv	Tfh	NKG7	-1.92	10.1	0
0	Immune cells	CD4Tconv	Tfh	FCER1G	-2.13	3.0	0
0	Immune cells	CD4Tconv	Tfh	HLA-DRA	-2.28	24.6	0
0	Immune cells	CD4Tconv	Tfh	CST3	-2.32	6.1	0
0	Immune cells	CD4Tconv	Tfh	TYROBP	-2.5	3.9	0
0	Immune cells	CD4Tconv	Tfh	LYZ	-2.95	5.7	0
0	Immune cells	CD4Tconv	Tfh	S100A9	-3.79	6.5	0
0	Immune cells	CD4Tconv	Tfh	S100A8	-3.82	4.9	0
0	Immune cells	CD4Tconv	Tfh	TLK1	0.39	30.2	2e-301
0	Immune cells	CD4Tconv	Tfh	CSTA	-1.19	0.3	1.06e-299
0	Immune cells	CD4Tconv	Tfh	SOCS1	0.4	31.1	2.49e-299
0	Immune cells	CD4Tconv	Tfh	GATA3	0.37	23.3	5.77e-296
0	Immune cells	CD4Tconv	Tfh	PHLDA1	0.49	25.7	7.88e-296
0	Immune cells	CD4Tconv	Tfh	MALAT1	0.27	100.0	3.77e-295
0	Immune cells	CD4Tconv	Tfh	RCAN3	0.42	28.2	4.07e-295
0	Immune cells	CD4Tconv	Tfh	AQP3	0.41	28.4	6.54e-294
0	Immune cells	CD4Tconv	Tfh	CYBB	-0.9	0.5	4.67e-290
0	Immune cells	CD4Tconv	Tfh	SYNE2	0.47	43.7	7.82e-290
0	Immune cells	CD4Tconv	Tfh	RPS6	0.27	99.7	1.66e-285
0	Immune cells	CD4Tconv	Tfh	ITK	0.33	19.6	9.52e-282
0	Immune cells	CD4Tconv	Tfh	SPI1	-0.82	0.6	1.35e-280
0	Immune cells	CD4Tconv	Tfh	INPP4B	0.26	16.3	7.71e-280
0	Immune cells	CD4Tconv	Tfh	P2RY10	0.37	26.4	1.63e-279
0	Immune cells	CD4Tconv	Tfh	FCGRT	-0.81	4.1	1.76e-278
0	Immune cells	CD4Tconv	Tfh	HLA-DQB1	-1.17	8.7	5.66e-277
