Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	NK	NK	NKG7	1.66	100.0	0
0	Immune cells	NK	NK	FGFBP2	1.65	92.4	0
0	Immune cells	NK	NK	GZMH	1.61	98.8	0
0	Immune cells	NK	NK	GNLY	1.53	94.9	0
0	Immune cells	NK	NK	GPR56	1.23	94.2	0
0	Immune cells	NK	NK	PLEK	1.15	94.9	0
0	Immune cells	NK	NK	CST7	1.11	99.9	0
0	Immune cells	NK	NK	S1PR5	1.1	91.3	0
0	Immune cells	NK	NK	CCL4	1.09	98.9	0
0	Immune cells	NK	NK	FCGR3A	1.09	89.6	0
0	Immune cells	NK	NK	KLRG1	1.0	95.4	0
0	Immune cells	NK	NK	PRF1	0.98	98.3	0
0	Immune cells	NK	NK	KLRF1	0.95	90.4	0
0	Immune cells	NK	NK	CTSW	0.94	99.5	0
0	Immune cells	NK	NK	CMC1	0.93	95.5	0
0	Immune cells	NK	NK	PLAC8	0.88	93.5	0
0	Immune cells	NK	NK	LITAF	0.85	99.2	0
0	Immune cells	NK	NK	CX3CR1	0.82	88.5	0
0	Immune cells	NK	NK	FCRL6	0.81	88.8	0
0	Immune cells	NK	NK	CCL4L2	0.78	89.0	0
0	Immune cells	NK	NK	TTC38	0.77	89.5	0
0	Immune cells	NK	NK	ZEB2	0.75	90.0	0
0	Immune cells	NK	NK	C12orf75	0.75	95.6	0
0	Immune cells	NK	NK	PRSS23	0.74	84.8	0
0	Immune cells	NK	NK	LPCAT1	0.7	90.8	0
0	Immune cells	NK	NK	FLNA	0.69	95.5	0
0	Immune cells	NK	NK	FGR	0.69	89.0	0
0	Immune cells	NK	NK	TYROBP	0.67	85.8	0
0	Immune cells	NK	NK	S1PR1	0.65	90.2	0
0	Immune cells	NK	NK	MATK	0.63	93.3	0
0	Immune cells	NK	NK	PXN	0.63	88.6	0
0	Immune cells	NK	NK	CCL4L1	0.62	94.3	0
0	Immune cells	NK	NK	KLRD1	0.61	90.6	0
0	Immune cells	NK	NK	LYAR	0.6	93.8	0
0	Immune cells	NK	NK	PTGER2	0.6	91.5	0
0	Immune cells	NK	NK	IFITM2	0.6	99.6	0
0	Immune cells	NK	NK	PTGDR	0.59	89.3	0
0	Immune cells	NK	NK	TGFBR3	0.58	85.8	0
0	Immune cells	NK	NK	CD300A	0.58	87.4	0
0	Immune cells	NK	NK	TPST2	0.56	92.6	0
0	Immune cells	NK	NK	XCL2	0.55	90.8	0
0	Immune cells	NK	NK	CCL5	0.53	100.0	0
0	Immune cells	NK	NK	CDC25B	0.52	89.5	0
0	Immune cells	NK	NK	KLF2	0.51	93.8	0
0	Immune cells	NK	NK	GZMA	0.5	99.0	0
0	Immune cells	NK	NK	HOPX	0.46	91.3	0
0	Immune cells	NK	NK	RASGRP2	0.45	88.2	0
0	Immune cells	NK	NK	EOMES	0.44	87.6	0
0	Immune cells	NK	NK	CTSC	0.43	95.4	0
0	Immune cells	NK	NK	KLF3	0.42	87.0	0
0	Immune cells	NK	NK	P2RY8	0.42	86.0	0
0	Immune cells	NK	NK	ITGAM	0.41	82.3	0
0	Immune cells	NK	NK	SIGLEC17P	0.4	82.9	0
0	Immune cells	NK	NK	ICAM2	0.4	88.1	0
0	Immune cells	NK	NK	RAB37	0.38	86.4	0
0	Immune cells	NK	NK	IFITM1	0.37	99.9	0
0	Immune cells	NK	NK	SH3BP5	0.36	86.0	0
0	Immune cells	NK	NK	S1PR4	0.36	88.1	0
0	Immune cells	NK	NK	PFN1	0.35	100.0	0
0	Immune cells	NK	NK	LAIR1	0.35	86.8	0
0	Immune cells	NK	NK	GZMB	0.35	94.5	0
0	Immune cells	NK	NK	RCBTB2	0.35	83.5	0
0	Immune cells	NK	NK	LOC101060789	0.34	80.9	0
0	Immune cells	NK	NK	CD244	0.33	84.6	0
0	Immune cells	NK	NK	RHOC	0.32	91.9	0
0	Immune cells	NK	NK	COL6A2	0.32	82.3	0
0	Immune cells	NK	NK	NSG1	0.3	83.4	0
0	Immune cells	NK	NK	FCRL3	0.3	83.4	0
0	Immune cells	NK	NK	KLRAP1	0.29	82.2	0
0	Immune cells	NK	NK	CD160	0.29	81.8	0
0	Immune cells	NK	NK	MTSS1	0.28	82.7	0
0	Immune cells	NK	NK	CDKN2D	0.28	85.4	0
0	Immune cells	NK	NK	KLRC4	0.28	84.8	0
0	Immune cells	NK	NK	SH2D1B	0.27	73.6	0
0	Immune cells	NK	NK	TMSB10	0.25	100.0	0
0	Immune cells	NK	NK	LOC102723407	-0.25	31.0	0
0	Immune cells	NK	NK	APOE	-0.25	36.6	0
0	Immune cells	NK	NK	BAG3	-0.25	78.7	0
0	Immune cells	NK	NK	CPNE7	-0.26	63.4	0
0	Immune cells	NK	NK	TRAF1	-0.26	80.3	0
0	Immune cells	NK	NK	PPP1R14B	-0.26	69.4	0
0	Immune cells	NK	NK	CD9	-0.27	70.0	0
0	Immune cells	NK	NK	ABCG1	-0.27	71.6	0
0	Immune cells	NK	NK	PLK3	-0.27	79.7	0
0	Immune cells	NK	NK	KDSR	-0.27	79.3	0
0	Immune cells	NK	NK	NCF1	-0.27	61.7	0
0	Immune cells	NK	NK	GPR25	-0.28	65.8	0
0	Immune cells	NK	NK	FBLN7	-0.28	61.4	0
0	Immune cells	NK	NK	NDFIP2	-0.28	77.9	0
0	Immune cells	NK	NK	SLAMF1	-0.28	78.3	0
0	Immune cells	NK	NK	PPP1R2P9	-0.31	71.0	0
0	Immune cells	NK	NK	CSF1	-0.33	73.9	0
0	Immune cells	NK	NK	HNRNPLL	-0.33	82.2	0
0	Immune cells	NK	NK	CCR6	-0.34	65.6	0
0	Immune cells	NK	NK	S100A8	-0.35	24.2	0
0	Immune cells	NK	NK	ENTPD1	-0.37	68.6	0
0	Immune cells	NK	NK	SPP1	-0.37	14.6	0
0	Immune cells	NK	NK	IGJ	-0.38	25.9	0
0	Immune cells	NK	NK	PAG1	-0.39	80.2	0
0	Immune cells	NK	NK	PELO	-0.41	79.1	0
0	Immune cells	NK	NK	CD28	-0.41	78.5	0
0	Immune cells	NK	NK	PASK	-0.41	78.3	0
0	Immune cells	NK	NK	FOXP3	-0.41	68.2	0
0	Immune cells	NK	NK	NELL2	-0.42	79.5	0
0	Immune cells	NK	NK	NCF4	-0.42	77.6	0
0	Immune cells	NK	NK	LDLRAD4	-0.43	78.6	0
0	Immune cells	NK	NK	SUSD3	-0.44	78.6	0
0	Immune cells	NK	NK	VIM	-0.46	99.4	0
0	Immune cells	NK	NK	SIRPG	-0.47	80.5	0
0	Immune cells	NK	NK	TMEM14C	-0.47	78.9	0
0	Immune cells	NK	NK	ACP5	-0.48	78.5	0
0	Immune cells	NK	NK	FAM102A	-0.51	78.9	0
0	Immune cells	NK	NK	DNPH1	-0.55	80.0	0
0	Immune cells	NK	NK	TNFRSF18	-0.55	78.6	0
0	Immune cells	NK	NK	CTSA	-0.56	82.4	0
0	Immune cells	NK	NK	RPLP1	-0.57	100.0	0
0	Immune cells	NK	NK	CKLF	-0.58	89.6	0
0	Immune cells	NK	NK	TNFRSF4	-0.59	78.4	0
0	Immune cells	NK	NK	CXCR6	-0.6	78.8	0
0	Immune cells	NK	NK	HSPH1	-0.61	82.2	0
0	Immune cells	NK	NK	AQP3	-0.61	79.3	0
0	Immune cells	NK	NK	LMNA	-0.62	81.3	0
0	Immune cells	NK	NK	CCR7	-0.64	77.9	0
