,,,,,,,by cancer type,,,,,gene set,,,,,,,
geneSymbol,cluster.name,comb.ES,comb.p,comb.padj,comb.ES.rank,comb.positive.freq,sig.N,sig.freq,total.N,ES.max,ES.max.p.adj,TF,kinase,epigenetic regulation,secretory,membrane,enzyme,drug target (FDA),drug target (potential)
CCR7,CD8.c01(Tn),1.74 ,3.31E-51,5.06E-49,1,62.89%,19,1.00 ,19,3.31 ,8.66E-04,,,,,TRUE,,,
LEF1,CD8.c01(Tn),1.56 ,1.62E-46,1.57E-44,2,46.98%,19,1.00 ,19,2.70 ,0.00E+00,TRUE,,,,,,,
SELL,CD8.c01(Tn),1.44 ,3.86E-54,6.68E-52,3,56.94%,19,1.00 ,19,2.42 ,3.60E-149,,,,,TRUE,,,
MAL,CD8.c01(Tn),1.14 ,6.72E-28,1.69E-26,4,25.77%,18,0.95 ,19,2.40 ,1.04E-04,,,,,TRUE,,,
IL7R,CD8.c01(Tn),1.11 ,2.64E-58,6.33E-56,5,80.74%,18,0.95 ,19,1.91 ,2.19E-96,,,,,TRUE,,,
RPL32,CD8.c01(Tn),1.05 ,6.98E-47,6.97E-45,6,83.14%,19,1.00 ,19,1.91 ,0.00E+00,,,,,,,,
RPL13,CD8.c01(Tn),1.01 ,6.73E-64,3.17E-61,7,80.40%,19,1.00 ,19,1.82 ,0.00E+00,,,,,,,,
EEF1A1,CD8.c01(Tn),1.00 ,1.07E-46,1.06E-44,8,80.40%,19,1.00 ,19,1.98 ,0.00E+00,,,,,,,,
TCF7,CD8.c01(Tn),0.99 ,7.54E-32,2.63E-30,9,51.32%,18,0.95 ,19,2.62 ,0.00E+00,TRUE,,,,,,,
RPL34,CD8.c01(Tn),0.96 ,5.77E-57,1.36E-54,10,80.83%,19,1.00 ,19,1.61 ,0.00E+00,,,,,,,,
LTB,CD8.c01(Tn),0.95 ,1.62E-56,3.53E-54,11,67.66%,17,0.89 ,19,1.84 ,8.90E-195,,,,,,,,
ACTN1,CD8.c01(Tn),0.95 ,4.00E-12,2.47E-11,12,21.37%,16,0.84 ,19,2.28 ,0.00E+00,,,,,,,TRUE,
RPS12,CD8.c01(Tn),0.95 ,4.46E-60,1.28E-57,13,80.70%,19,1.00 ,19,1.63 ,0.00E+00,,,,,,,,
RPS3A,CD8.c01(Tn),0.92 ,3.51E-37,1.76E-35,14,78.80%,19,1.00 ,19,1.89 ,0.00E+00,,,,,,,,
RPS6,CD8.c01(Tn),0.91 ,7.46E-56,1.59E-53,15,78.46%,19,1.00 ,19,1.54 ,0.00E+00,,,,,,,,
RPL11,CD8.c01(Tn),0.89 ,1.75E-42,1.28E-40,16,79.76%,19,1.00 ,19,1.72 ,0.00E+00,,,,,,,,
RPS13,CD8.c01(Tn),0.89 ,4.97E-37,2.44E-35,17,79.51%,19,1.00 ,19,1.89 ,0.00E+00,,,,,,,,
RPS8,CD8.c01(Tn),0.88 ,4.46E-32,1.58E-30,18,79.25%,19,1.00 ,19,1.87 ,0.00E+00,,,,,,,,
TRABD2A,CD8.c01(Tn),0.86 ,1.17E-26,2.63E-25,19,20.10%,17,0.89 ,19,1.75 ,0.00E+00,,,,,TRUE,,,
RPS18,CD8.c01(Tn),0.85 ,1.08E-79,1.82E-76,20,77.04%,19,1.00 ,19,1.34 ,1.27E-274,,,,,,,,
RPL19,CD8.c01(Tn),0.83 ,5.45E-48,6.11E-46,21,78.27%,18,0.95 ,19,1.55 ,0.00E+00,,,,,,,,
RPS23,CD8.c01(Tn),0.83 ,5.69E-47,5.73E-45,22,78.56%,19,1.00 ,19,1.59 ,0.00E+00,,,,,,,,
RPS14,CD8.c01(Tn),0.82 ,9.58E-61,2.97E-58,23,76.06%,19,1.00 ,19,1.36 ,1.27E-282,,,,,,,,
RPL10,CD8.c01(Tn),0.82 ,6.03E-45,5.42E-43,24,74.95%,18,0.95 ,19,1.48 ,0.00E+00,,,,,,,,
RPL3,CD8.c01(Tn),0.82 ,3.65E-80,7.17E-77,25,76.66%,19,1.00 ,19,1.21 ,1.83E-228,,,,,,,TRUE,
TPT1,CD8.c01(Tn),0.78 ,7.36E-70,5.42E-67,26,77.64%,18,0.95 ,19,1.27 ,4.73E-248,,,,,,,,
RPL30,CD8.c01(Tn),0.77 ,1.24E-50,1.87E-48,27,76.56%,19,1.00 ,19,1.30 ,1.73E-261,,,,,,,,
